gene_callers_id,source,accession,function,e_value,contig,genome,gene_sh,gene_facet
233733,COG20_FUNCTION,COG0122!!!COG0350,3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase (AlkA) (PDB:1DIZ)!!!DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663),1e-48,VAMPV_261.Contig_5,VAMPV_261,AlkA*,Alk
236764,COG20_FUNCTION,COG0122!!!COG2169,"3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase (AlkA) (PDB:1DIZ)!!!Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains (AdaA) (PDB:1ADN)",9.3e-75,VAMPV_261.Contig_271,VAMPV_261,AlkA*,Alk
238341,COG20_FUNCTION,COG0122!!!COG2169,"3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase (AlkA) (PDB:1DIZ)!!!Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains (AdaA) (PDB:1ADN)",1.9e-61,VAMPV_261.Contig_534,VAMPV_261,AlkA*,Alk
6710,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),3.6999999999999997e-75,CYANO_106.Contig_116,CYANO_106,AlkB,Alk
24042,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.2e-79,CYANO_84.Contig_313,CYANO_84,AlkB,Alk
25138,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),3.6e-49,CYBIM_101_1.Contig_40,CYBIM_101_1,AlkB,Alk
28233,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),8.7e-43,CYBIM_101.Contig_10,CYBIM_101,AlkB,Alk
34105,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),3.4e-42,CYBIM_104.Contig_48,CYBIM_104,AlkB,Alk
36795,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.3e-41,CYBIM_114.Contig_240,CYBIM_114,AlkB,Alk
37590,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),6.199999999999999e-43,CYBIM_119_1.Contig_11,CYBIM_119_1,AlkB,Alk
41279,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),2.7e-61,CYBIM_119.Contig_17,CYBIM_119,AlkB,Alk
43695,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),3.999999999999999e-57,CYBIM_130_1.Contig_16,CYBIM_130_1,AlkB,Alk
46148,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),3.0999999999999996e-48,CYBIM_130.Contig_81,CYBIM_130,AlkB,Alk
50811,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),9.3e-49,CYBIM_134_1.Contig_257,CYBIM_134_1,AlkB,Alk
53336,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.8e-60,CYBIM_136_1.Contig_28,CYBIM_136_1,AlkB,Alk
57655,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.1e-49,CYBIM_157.Contig_22,CYBIM_157,AlkB,Alk
59448,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),6.6e-61,CYBIM_15.Contig_65,CYBIM_15,AlkB,Alk
61534,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),2.4e-59,CYBIM_160.Contig_2,CYBIM_160,AlkB,Alk
65536,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),5.499999999999999e-56,CYBIM_173.Contig_145,CYBIM_173,AlkB,Alk
67973,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),4.6e-47,CYBIM_190.Contig_69,CYBIM_190,AlkB,Alk
76102,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),2.4e-49,CYBIM_22.Contig_229,CYBIM_22,AlkB,Alk
78933,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),3.8999999999999995e-57,CYBIM_231.Contig_224,CYBIM_231,AlkB,Alk
80923,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),9.599999999999999e-61,CYBIM_28.Contig_74,CYBIM_28,AlkB,Alk
87391,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.6e-52,CYBIM_39.Contig_18,CYBIM_39,AlkB,Alk
92296,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),3.9e-60,CYBIM_52.Contig_8,CYBIM_52,AlkB,Alk
95112,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),6.899999999999999e-48,CYBIM_60_1.Contig_5,CYBIM_60_1,AlkB,Alk
98662,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),3.3999999999999997e-47,CYBIM_63.Contig_3,CYBIM_63,AlkB,Alk
102918,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),2.5999999999999997e-47,CYBIM_67.Contig_18,CYBIM_67,AlkB,Alk
106367,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),5.2999999999999994e-48,CYBIM_73_1.Contig_13,CYBIM_73_1,AlkB,Alk
110634,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.1999999999999998e-56,CYBIM_73.Contig_15,CYBIM_73,AlkB,Alk
112059,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),8.2e-64,CYBIM_76.Contig_2,CYBIM_76,AlkB,Alk
117048,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),9.999999999999998e-58,CYBIM_77.Contig_26,CYBIM_77,AlkB,Alk
119815,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),2.1999999999999997e-57,CYBIM_80.Contig_127,CYBIM_80,AlkB,Alk
120495,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.6e-52,CYBIM_89.Contig_2,CYBIM_89,AlkB,Alk
125770,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),2.4e-49,CYBIM_90.Contig_67,CYBIM_90,AlkB,Alk
127350,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),7.4e-42,CYBIM_93.Contig_5,CYBIM_93,AlkB,Alk
131865,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.8e-60,CYBIM_94.Contig_68,CYBIM_94,AlkB,Alk
136441,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),6.5e-53,DOLIS_105.Contig_20,DOLIS_105,AlkB,Alk
144862,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),3.1e-80,DOLIS_187.Contig_96,DOLIS_187,AlkB,Alk
157329,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),2.1000000000000002e-60,MCYST_157.Contig_540,MCYST_157,AlkB,Alk
180854,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),2.1000000000000002e-60,MCYST_56.Contig_55,MCYST_56,AlkB,Alk
242260,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.2e-51,VULCA_120.Contig_242,VULCA_120,AlkB,Alk
244413,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),4.1e-55,VULCA_209.Contig_280,VULCA_209,AlkB,Alk
246305,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),3.1e-31,VULCA_20.Contig_96,VULCA_20,AlkB,Alk
247266,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.1999999999999998e-53,VULCA_242.Contig_27,VULCA_242,AlkB,Alk
250578,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),2.7999999999999995e-56,VULCA_28.Contig_70,VULCA_28,AlkB,Alk
252229,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.1999999999999998e-53,VULCA_43.Contig_154,VULCA_43,AlkB,Alk
255324,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),9.4e-52,VULCA_51.Contig_333,VULCA_51,AlkB,Alk
259079,COG20_FUNCTION,COG3145,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1.4e-55,VULCA_96.Contig_63,VULCA_96,AlkB,Alk
24696,COG20_FUNCTION,COG4335,3-methylpurine DNA glycosylase AlkC (AlkC),1.9e-60,CYBIM_101_1.Contig_11,CYBIM_101_1,AlkC,Alk
211713,COG20_FUNCTION,COG4335,3-methylpurine DNA glycosylase AlkC (AlkC),6.0999999999999996e-24,PSEUDA_157.Contig_253,PSEUDA_157,AlkC,Alk
218196,COG20_FUNCTION,COG4335,3-methylpurine DNA glycosylase AlkC (AlkC),1.3e-79,PSEUDA_31.Contig_17,PSEUDA_31,AlkC,Alk
193511,COG20_FUNCTION,COG4912,3-methyladenine DNA glycosylase AlkD (AlkD) (PDB:3JX7),7.799999999999999e-75,NODOS_103.Contig_12,NODOS_103,AlkD,Alk
204753,COG20_FUNCTION,COG4912,3-methyladenine DNA glycosylase AlkD (AlkD) (PDB:3JX7),2.9999999999999996e-68,PSEUDA_13.Contig_35,PSEUDA_13,AlkD,Alk
209448,COG20_FUNCTION,COG4912,3-methyladenine DNA glycosylase AlkD (AlkD) (PDB:3JX7),9.5e-67,PSEUDA_157.Contig_51,PSEUDA_157,AlkD,Alk
214395,COG20_FUNCTION,COG4912,3-methyladenine DNA glycosylase AlkD (AlkD) (PDB:3JX7),2.1e-69,PSEUDA_281.Contig_36,PSEUDA_281,AlkD,Alk
219486,COG20_FUNCTION,COG4912,3-methyladenine DNA glycosylase AlkD (AlkD) (PDB:3JX7),2.5e-67,PSEUDA_31.Contig_52,PSEUDA_31,AlkD,Alk
225294,COG20_FUNCTION,COG4912,3-methyladenine DNA glycosylase AlkD (AlkD) (PDB:3JX7),9.999999999999999e-69,PSEUDA_70.Contig_125,PSEUDA_70,AlkD,Alk
230223,COG20_FUNCTION,COG4912,3-methyladenine DNA glycosylase AlkD (AlkD) (PDB:3JX7),2.7999999999999998e-39,VAMPV_156.Contig_29,VAMPV_156,AlkD,Alk
236784,COG20_FUNCTION,COG4912,3-methyladenine DNA glycosylase AlkD (AlkD) (PDB:3JX7),3.4e-40,VAMPV_261.Contig_273,VAMPV_261,AlkD,Alk
2139,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),6.2e-71,APHAN_134.Contig_26,APHAN_134,ComEA,DNA Uptake
2302,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),9.999999999999998e-99,APHAN_134.Contig_30,APHAN_134,ComEA,DNA Uptake
5412,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),5.3e-85,CYANO_106.Contig_31,CYANO_106,ComEA,DNA Uptake
5577,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),7.9e-66,CYANO_106.Contig_38,CYANO_106,ComEA,DNA Uptake
7434,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),3.999999999999999e-57,CYANO_45.Contig_2,CYANO_45,ComEA,DNA Uptake
7485,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),4.199999999999999e-161,CYANO_45.Contig_2,CYANO_45,ComEA,DNA Uptake
12744,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.3999999999999999e-164,CYANO_51_1.Contig_20,CYANO_51_1,ComEA,DNA Uptake
15429,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1e-49,CYANO_51_1.Contig_105,CYANO_51_1,ComEA,DNA Uptake
21808,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),3.8999999999999994e-122,CYANO_84.Contig_68,CYANO_84,ComEA,DNA Uptake
21851,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.4999999999999999e-97,CYANO_84.Contig_71,CYANO_84,ComEA,DNA Uptake
25591,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.4999999999999999e-36,CYBIM_101_1.Contig_77,CYBIM_101_1,ComEA,DNA Uptake
28158,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),4.1e-37,CYBIM_101.Contig_9,CYBIM_101,ComEA,DNA Uptake
32230,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.1e-43,CYBIM_104.Contig_11,CYBIM_104,ComEA,DNA Uptake
35814,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),2.3e-36,CYBIM_114.Contig_90,CYBIM_114,ComEA,DNA Uptake
37462,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),8.5e-15,CYBIM_119_1.Contig_7,CYBIM_119_1,ComEA,DNA Uptake
40168,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),6.599999999999999e-49,CYBIM_119.Contig_5,CYBIM_119,ComEA,DNA Uptake
42947,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),4.8e-47,CYBIM_130_1.Contig_4,CYBIM_130_1,ComEA,DNA Uptake
47830,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),5.799999999999999e-56,CYBIM_130.Contig_361,CYBIM_130,ComEA,DNA Uptake
48156,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.8e-44,CYBIM_134_1.Contig_2,CYBIM_134_1,ComEA,DNA Uptake
53604,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),9.099999999999999e-46,CYBIM_136_1.Contig_35,CYBIM_136_1,ComEA,DNA Uptake
55660,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),4.5e-47,CYBIM_157.Contig_5,CYBIM_157,ComEA,DNA Uptake
59694,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),8.6e-54,CYBIM_15.Contig_84,CYBIM_15,ComEA,DNA Uptake
62310,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.1999999999999998e-53,CYBIM_160.Contig_7,CYBIM_160,ComEA,DNA Uptake
64148,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.9e-16,CYBIM_173.Contig_5,CYBIM_173,ComEA,DNA Uptake
67305,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),4.8e-37,CYBIM_190.Contig_29,CYBIM_190,ComEA,DNA Uptake
70705,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.4999999999999999e-44,CYBIM_200.Contig_8,CYBIM_200,ComEA,DNA Uptake
74006,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),4.8e-45,CYBIM_22.Contig_26,CYBIM_22,ComEA,DNA Uptake
78387,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),9.9e-51,CYBIM_231.Contig_140,CYBIM_231,ComEA,DNA Uptake
79996,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.3e-8,CYBIM_28.Contig_11,CYBIM_28,ComEA,DNA Uptake
82236,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.5e-46,CYBIM_31.Contig_1,CYBIM_31,ComEA,DNA Uptake
86371,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),4.6e-45,CYBIM_39.Contig_7,CYBIM_39,ComEA,DNA Uptake
90162,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.4e-43,CYBIM_51.Contig_37,CYBIM_51,ComEA,DNA Uptake
92702,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),2.8e-50,CYBIM_52.Contig_14,CYBIM_52,ComEA,DNA Uptake
95232,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),7.2e-32,CYBIM_60_1.Contig_6,CYBIM_60_1,ComEA,DNA Uptake
100915,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),2.6999999999999995e-38,CYBIM_63.Contig_35,CYBIM_63,ComEA,DNA Uptake
107996,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),5e-37,CYBIM_73_1.Contig_61,CYBIM_73_1,ComEA,DNA Uptake
109055,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),2.5e-48,CYBIM_73.Contig_2,CYBIM_73,ComEA,DNA Uptake
112183,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),9.599999999999999e-61,CYBIM_76.Contig_3,CYBIM_76,ComEA,DNA Uptake
114200,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),3.2e-26,CYBIM_76.Contig_21,CYBIM_76,ComEA,DNA Uptake
114782,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),6.3e-55,CYBIM_77.Contig_1,CYBIM_77,ComEA,DNA Uptake
120150,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),2.9e-52,CYBIM_80.Contig_192,CYBIM_80,ComEA,DNA Uptake
121388,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),2.7e-34,CYBIM_89.Contig_8,CYBIM_89,ComEA,DNA Uptake
126036,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),5.6e-37,CYBIM_90.Contig_96,CYBIM_90,ComEA,DNA Uptake
128711,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),2.0999999999999999e-38,CYBIM_93.Contig_20,CYBIM_93,ComEA,DNA Uptake
130895,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),2.3e-49,CYBIM_94.Contig_20,CYBIM_94,ComEA,DNA Uptake
135592,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),2.1e-37,CYBIM_96.Contig_365,CYBIM_96,ComEA,DNA Uptake
136324,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.2999999999999999e-96,DOLIS_105.Contig_16,DOLIS_105,ComEA,DNA Uptake
139166,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.8e-73,DOLIS_105.Contig_195,DOLIS_105,ComEA,DNA Uptake
139957,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),4.2e-116,DOLIS_105.Contig_287,DOLIS_105,ComEA,DNA Uptake
141031,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),9.3e-36,DOLIS_187.Contig_2,DOLIS_187,ComEA,DNA Uptake
141131,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.2e-77,DOLIS_187.Contig_2,DOLIS_187,ComEA,DNA Uptake
143494,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),5.4e-91,DOLIS_187.Contig_40,DOLIS_187,ComEA,DNA Uptake
143769,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),5.2e-114,DOLIS_187.Contig_48,DOLIS_187,ComEA,DNA Uptake
146163,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),4e-18,DOLIS_36.Contig_117,DOLIS_36,ComEA,DNA Uptake
147997,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),8.199999999999999e-36,DOLIS_53.Contig_15,DOLIS_53,ComEA,DNA Uptake
148277,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),1.1e-78,DOLIS_53.Contig_51,DOLIS_53,ComEA,DNA Uptake
149188,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),9.3e-23,DOLIS_53.Contig_203,DOLIS_53,ComEA,DNA Uptake
149532,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),7.4e-24,DOLIS_53.Contig_283,DOLIS_53,ComEA,DNA Uptake
153888,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),9.8e-13,MCYST_100.Contig_561,MCYST_100,ComEA,DNA Uptake
154431,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),7.499999999999999e-53,MCYST_157.Contig_34,MCYST_157,ComEA,DNA Uptake
155307,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),3.8e-30,MCYST_157.Contig_139,MCYST_157,ComEA,DNA Uptake
161944,COG20_FUNCTION,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),4.9e-94,MCYST_162_2.Contig_36,MCYST_162_2,ComEA,DNA Uptake
