qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,gene_seq,Gene_norm,organism,GeneID
APHAN_134.Contig_5,NZ_JACJTO010000004.1:105234-106163,99.03,928,9,0,97433,98360,928,1,0,1664,NZ_JACJTO010000004.1:105234-106163 recO [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217009] [chromosome=],recO,Aphanizomenon flos-aquae FACHB-1287,78217009
APHAN_134.Contig_5,NZ_JACJTO010000004.1:85579-85998,99.524,420,2,0,117364,117783,420,1,0,765,NZ_JACJTO010000004.1:85579-85998 mutT [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78216993] [chromosome=],mutT,Aphanizomenon flos-aquae FACHB-1287,78216993
APHAN_134.Contig_5,NZ_KE384592.1:c39642-38713,81.576,939,151,16,97433,98360,928,1,0,756,NZ_KE384592.1:c39642-38713 recO [organism=Dolichospermum circinale AWQC131C] [GeneID=78011711] [chromosome=],recO,Dolichospermum circinale AWQC131C,78011711
APHAN_134.Contig_5,NZ_KE384598.1:9077-9493,88.395,405,46,1,117380,117783,405,1,1.89e-136,486,NZ_KE384598.1:9077-9493 mutT [organism=Dolichospermum circinale AWQC131C] [GeneID=78012123] [chromosome=],mutT,Dolichospermum circinale AWQC131C,78012123
APHAN_134.Contig_5,NZ_JANQDJ010000079.1:8272-9510,78.528,163,32,3,118888,119049,800,640,2.22e-21,104,NZ_JANQDJ010000079.1:8272-9510 sigC [organism=Umezakia ovalisporum Ak1311] [GeneID=83686312] [chromosome=],sigC,Umezakia ovalisporum Ak1311,83686312
APHAN_134.Contig_7,NZ_JACJTO010000010.1:102519-104831,98.879,2319,20,4,22720,25038,2313,1,0,4133,NZ_JACJTO010000010.1:102519-104831 recJ [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217783] [chromosome=],recJ,Aphanizomenon flos-aquae FACHB-1287,78217783
APHAN_134.Contig_7,NZ_KE384617.1:c46296-43954,84.622,2315,338,16,22730,25038,2303,1,0,2287,NZ_KE384617.1:c46296-43954 recJ [organism=Dolichospermum circinale AWQC131C] [GeneID=78013404] [chromosome=],recJ,Dolichospermum circinale AWQC131C,78013404
APHAN_134.Contig_7,NZ_CP020114.1:2794748-2797090,74.954,2180,489,45,22895,25038,2159,1,0,948,NZ_CP020114.1:2794748-2797090 recJ [organism=Nodularia spumigena UHCC 0039] [GeneID=78017766] [chromosome=],recJ,Nodularia spumigena UHCC 0039,78017766
APHAN_134.Contig_8,NZ_JACJTO010000025.1:38869-41262,99.582,2394,10,0,48682,51075,2394,1,0,4366,NZ_JACJTO010000025.1:38869-41262 H6G44_RS12960 [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218890] [chromosome=],H6G44_RS12960,Aphanizomenon flos-aquae FACHB-1287,78218890
APHAN_134.Contig_8,NZ_KE384607.1:c13130-10728,89.023,2405,251,8,48682,51075,2403,1,0,2966,NZ_KE384607.1:c13130-10728 ACIR131C_RS0109580 [organism=Dolichospermum circinale AWQC131C] [GeneID=78012797] [chromosome=],ACIR131C_RS0109580,Dolichospermum circinale AWQC131C,78012797
APHAN_134.Contig_8,NZ_APIY01000452.1:c993-1,95,760,34,4,29134,29891,758,1,0,1190,NZ_APIY01000452.1:c993-1 iscB [organism=Dolichospermum circinale AWQC131C] [GeneID=78011336] [chromosome=],iscB,Dolichospermum circinale AWQC131C,78011336
APHAN_134.Contig_8,NZ_JACJTO010000056.1:2259-2900,97.04,642,19,0,89732,90373,1,642,0,1081,NZ_JACJTO010000056.1:2259-2900 ruvA [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78219977] [chromosome=],ruvA,Aphanizomenon flos-aquae FACHB-1287,78219977
APHAN_134.Contig_8,NZ_CP020114.1:c2600812-2598359,77.173,1231,267,8,49855,51075,1227,1,0,704,NZ_CP020114.1:c2600812-2598359 BMF81_RS11540 [organism=Nodularia spumigena UHCC 0039] [GeneID=78017585] [chromosome=],BMF81_RS11540,Nodularia spumigena UHCC 0039,78017585
APHAN_134.Contig_8,NZ_CP020114.1:c2600812-2598359,76.11,1126,253,12,48686,49800,2447,1327,3.18e-163,575,NZ_CP020114.1:c2600812-2598359 BMF81_RS11540 [organism=Nodularia spumigena UHCC 0039] [GeneID=78017585] [chromosome=],BMF81_RS11540,Nodularia spumigena UHCC 0039,78017585
APHAN_134.Contig_8,NZ_KE384618.1:c48596-47955,86.422,626,85,0,89732,90357,1,626,0,686,NZ_KE384618.1:c48596-47955 ruvA [organism=Dolichospermum circinale AWQC131C] [GeneID=78013453] [chromosome=],ruvA,Dolichospermum circinale AWQC131C,78013453
APHAN_134.Contig_8,NZ_CP020114.1:c3984789-3984109,81.977,688,110,14,29211,29891,681,1,4.11e-162,571,NZ_CP020114.1:c3984789-3984109 iscB [organism=Nodularia spumigena UHCC 0039] [GeneID=78018765] [chromosome=],iscB,Nodularia spumigena UHCC 0039,78018765
APHAN_134.Contig_9,NZ_JACJTO010000034.1:c6821-5745,99.629,1077,4,0,61924,63000,1077,1,0,1967,NZ_JACJTO010000034.1:c6821-5745 recA [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78219337] [chromosome=],recA,Aphanizomenon flos-aquae FACHB-1287,78219337
APHAN_134.Contig_9,NZ_KE384612.1:c44638-43565,88.879,1070,119,0,61931,63000,1070,1,0,1317,NZ_KE384612.1:c44638-43565 recA [organism=Dolichospermum circinale AWQC131C] [GeneID=78013076] [chromosome=],recA,Dolichospermum circinale AWQC131C,78013076
APHAN_134.Contig_9,NZ_CP047242.1:c1128002-1126926,81.023,1075,199,4,61927,63000,1071,1,0,850,NZ_CP047242.1:c1128002-1126926 recA [organism=Trichormus variabilis 0441] [GeneID=58722498] [chromosome=],recA,Trichormus variabilis 0441,58722498
APHAN_134.Contig_9,NZ_LAHB01000028.1:11747-12823,80.594,1077,200,7,61927,63000,1071,1,0,822,NZ_LAHB01000028.1:11747-12823 recA [organism=Nostoc linckia z6] [GeneID=57095343] [chromosome=],recA,Nostoc linckia z6,57095343
APHAN_134.Contig_12,NZ_JACJTO010000018.1:1320-3509,98.904,2190,24,0,57110,59299,2190,1,0,3912,NZ_JACJTO010000018.1:1320-3509 recQ [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218366] [chromosome=],recQ,Aphanizomenon flos-aquae FACHB-1287,78218366
APHAN_134.Contig_12,NZ_KE384629.1:c9741-7552,91.332,2192,184,6,57111,59299,2189,1,0,2990,NZ_KE384629.1:c9741-7552 recQ [organism=Dolichospermum circinale AWQC131C] [GeneID=78013877] [chromosome=],recQ,Dolichospermum circinale AWQC131C,78013877
APHAN_134.Contig_12,NZ_CP020114.1:1241535-1243700,77.214,2168,472,19,57143,59299,2157,1,0,1247,NZ_CP020114.1:1241535-1243700 recQ [organism=Nodularia spumigena UHCC 0039] [GeneID=78016401] [chromosome=],recQ,Nodularia spumigena UHCC 0039,78016401
APHAN_134.Contig_13,NZ_JACJTO010000009.1:117224-119689,99.066,2462,23,0,22120,24581,2462,1,0,4420,NZ_JACJTO010000009.1:117224-119689 recG [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217704] [chromosome=],recG,Aphanizomenon flos-aquae FACHB-1287,78217704
APHAN_134.Contig_13,NZ_KE384619.1:34218-36698,92.106,2483,177,13,22116,24581,2481,1,0,3482,NZ_KE384619.1:34218-36698 recG [organism=Dolichospermum circinale AWQC131C] [GeneID=78013485] [chromosome=],recG,Dolichospermum circinale AWQC131C,78013485
APHAN_134.Contig_13,NZ_CP065936.1:c230552-228069,79.498,2112,415,16,22120,24222,2480,378,0,1485,NZ_CP065936.1:c230552-228069 recG [organism=Cylindrospermopsis raciborskii Cr2010] [GeneID=92779350] [chromosome=],recG,Cylindrospermopsis raciborskii Cr2010,92779350
APHAN_134.Contig_22,NZ_KE384650.1:c5800-5135,91.867,664,54,0,27221,27884,664,1,0,928,NZ_KE384650.1:c5800-5135 ACIR131C_RS0119245 [organism=Dolichospermum circinale AWQC131C] [GeneID=78014387] [chromosome=],ACIR131C_RS0119245,Dolichospermum circinale AWQC131C,78014387
APHAN_134.Contig_25,NZ_JACJTO010000021.1:c66481-63539,99.456,2943,16,0,3406,6348,1,2943,0,5347,NZ_JACJTO010000021.1:c66481-63539 uvrA [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218646] [chromosome=],uvrA,Aphanizomenon flos-aquae FACHB-1287,78218646
APHAN_134.Contig_25,NZ_KE384613.1:50020-52932,90.347,2072,192,6,4271,6338,836,2903,0,2712,NZ_KE384613.1:50020-52932 uvrA [organism=Dolichospermum circinale AWQC131C] [GeneID=78013208] [chromosome=],uvrA,Dolichospermum circinale AWQC131C,78013208
APHAN_134.Contig_25,NZ_KE384613.1:50020-52932,90.658,760,71,0,3406,4165,1,760,0,1011,NZ_KE384613.1:50020-52932 uvrA [organism=Dolichospermum circinale AWQC131C] [GeneID=78013208] [chromosome=],uvrA,Dolichospermum circinale AWQC131C,78013208
APHAN_134.Contig_25,NZ_CP020114.1:1383340-1386210,81.541,2064,362,18,4271,6323,788,2843,0,1683,NZ_CP020114.1:1383340-1386210 uvrA [organism=Nodularia spumigena UHCC 0039] [GeneID=78016526] [chromosome=],uvrA,Nodularia spumigena UHCC 0039,78016526
APHAN_134.Contig_25,NZ_CP020114.1:1383340-1386210,81.832,666,119,2,3458,4122,41,705,1.6e-158,558,NZ_CP020114.1:1383340-1386210 uvrA [organism=Nodularia spumigena UHCC 0039] [GeneID=78016526] [chromosome=],uvrA,Nodularia spumigena UHCC 0039,78016526
APHAN_134.Contig_25,NZ_LAHB01000066.1:14261-17194,81.313,2071,375,12,4271,6335,839,2903,0,1670,NZ_LAHB01000066.1:14261-17194 uvrA [organism=Nostoc linckia z6] [GeneID=57097684] [chromosome=],uvrA,Nostoc linckia z6,57097684
APHAN_134.Contig_25,NZ_LAHB01000066.1:14261-17194,81.081,703,131,2,3456,4157,93,794,4.44e-159,560,NZ_LAHB01000066.1:14261-17194 uvrA [organism=Nostoc linckia z6] [GeneID=57097684] [chromosome=],uvrA,Nostoc linckia z6,57097684
APHAN_134.Contig_25,NZ_JANQDJ010000007.1:29007-31877,79.903,2065,388,23,4271,6320,788,2840,0,1489,NZ_JANQDJ010000007.1:29007-31877 uvrA [organism=Umezakia ovalisporum Ak1311] [GeneID=83683433] [chromosome=],uvrA,Umezakia ovalisporum Ak1311,83683433
APHAN_134.Contig_25,NZ_LR882952.1:3185638-3188601,76.405,1708,360,35,4639,6323,1261,2948,0,881,NZ_LR882952.1:3185638-3188601 uvrA [organism=Planktothrix agardhii] [GeneID=77289122] [chromosome=I],uvrA,Planktothrix agardhii,77289122
APHAN_134.Contig_25,NZ_CP065936.1:191293-194172,78.669,661,137,3,3466,4124,64,722,7.8e-122,436,NZ_CP065936.1:191293-194172 uvrA [organism=Cylindrospermopsis raciborskii Cr2010] [GeneID=92779321] [chromosome=],uvrA,Cylindrospermopsis raciborskii Cr2010,92779321
APHAN_134.Contig_25,NZ_JACJTO010000025.1:c30911-28323,100,34,0,0,12267,12300,1960,1927,1.52e-9,63.9,NZ_JACJTO010000025.1:c30911-28323 mutS [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218882] [chromosome=],mutS,Aphanizomenon flos-aquae FACHB-1287,78218882
APHAN_134.Contig_26,NZ_JACJTO010000047.1:c23055-22450,99.505,606,3,0,9226,9831,606,1,0,1103,NZ_JACJTO010000047.1:c23055-22450 lexA [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78219793] [chromosome=],lexA,Aphanizomenon flos-aquae FACHB-1287,78219793
APHAN_134.Contig_26,NZ_KE384593.1:7130-7735,89.769,606,62,0,9226,9831,606,1,0,776,NZ_KE384593.1:7130-7735 lexA [organism=Dolichospermum circinale AWQC131C] [GeneID=78011784] [chromosome=],lexA,Dolichospermum circinale AWQC131C,78011784
APHAN_134.Contig_33,NZ_JACJTO010000025.1:c30911-28323,98.88,2589,29,0,3577,6165,2589,1,0,4621,NZ_JACJTO010000025.1:c30911-28323 mutS [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218882] [chromosome=],mutS,Aphanizomenon flos-aquae FACHB-1287,78218882
APHAN_134.Contig_33,NZ_KE384599.1:c2617-29,92.544,2575,192,0,3591,6165,2575,1,0,3692,NZ_KE384599.1:c2617-29 mutS [organism=Dolichospermum circinale AWQC131C] [GeneID=78012183] [chromosome=],mutS,Dolichospermum circinale AWQC131C,78012183
APHAN_134.Contig_33,NZ_CP020114.1:5263565-5266156,78.939,2507,497,19,3605,6100,2564,78,0,1676,NZ_CP020114.1:5263565-5266156 mutS [organism=Nodularia spumigena UHCC 0039] [GeneID=78019851] [chromosome=],mutS,Nodularia spumigena UHCC 0039,78019851
APHAN_134.Contig_33,NZ_CP065936.1:2811061-2813625,77.857,2520,508,39,3605,6108,2537,52,0,1517,NZ_CP065936.1:2811061-2813625 mutS [organism=Cylindrospermopsis raciborskii Cr2010] [GeneID=92781704] [chromosome=],mutS,Cylindrospermopsis raciborskii Cr2010,92781704
APHAN_134.Contig_33,NZ_LAHB01000054.1:c38656-35963,82.155,566,98,3,3608,4172,2657,2094,7.35e-136,483,NZ_LAHB01000054.1:c38656-35963 mutS [organism=Nostoc linckia z6] [GeneID=57097203] [chromosome=],mutS,Nostoc linckia z6,57097203
APHAN_134.Contig_35,NZ_JACJTO010000016.1:c84639-82762,99.627,1878,7,0,10541,12418,1878,1,0,3430,NZ_JACJTO010000016.1:c84639-82762 uvrC [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218295] [chromosome=],uvrC,Aphanizomenon flos-aquae FACHB-1287,78218295
APHAN_134.Contig_35,NZ_KE384623.1:141568-143448,87.573,1875,228,3,10547,12417,1875,2,0,2167,NZ_KE384623.1:141568-143448 uvrC [organism=Dolichospermum circinale AWQC131C] [GeneID=78013707] [chromosome=],uvrC,Dolichospermum circinale AWQC131C,78013707
APHAN_134.Contig_35,NZ_CP047242.1:316001-317884,78.349,1866,398,6,10548,12410,1871,9,0,1203,NZ_CP047242.1:316001-317884 uvrC [organism=Trichormus variabilis 0441] [GeneID=58721850] [chromosome=],uvrC,Trichormus variabilis 0441,58721850
APHAN_134.Contig_35,NZ_CP020114.1:c3685187-3683310,78.357,1862,389,13,10548,12402,1871,17,0,1194,NZ_CP020114.1:c3685187-3683310 uvrC [organism=Nodularia spumigena UHCC 0039] [GeneID=78018506] [chromosome=],uvrC,Nodularia spumigena UHCC 0039,78018506
APHAN_134.Contig_35,NZ_CP065936.1:c3200925-3199030,77.607,1822,354,36,10587,12369,1853,47,0,1055,NZ_CP065936.1:c3200925-3199030 uvrC [organism=Cylindrospermopsis raciborskii Cr2010] [GeneID=92782063] [chromosome=],uvrC,Cylindrospermopsis raciborskii Cr2010,92782063
APHAN_134.Contig_35,NZ_JANQDJ010000067.1:18792-20678,76.759,1876,426,8,10548,12418,1871,1,0,1040,NZ_JANQDJ010000067.1:18792-20678 uvrC [organism=Umezakia ovalisporum Ak1311] [GeneID=83685727] [chromosome=],uvrC,Umezakia ovalisporum Ak1311,83685727
APHAN_134.Contig_35,NZ_AJLL01000040.1:c5960-4056,77.87,967,204,10,10548,11509,1898,937,1.11e-168,592,NZ_AJLL01000040.1:c5960-4056 uvrC [organism=Fischerella thermalis PCC 7521] [GeneID=35799822] [chromosome=],uvrC,Fischerella thermalis PCC 7521,35799822
APHAN_134.Contig_35,NZ_LR882952.1:825531-827390,74.453,1370,327,13,11036,12386,1395,30,5.19e-162,569,NZ_LR882952.1:825531-827390 uvrC [organism=Planktothrix agardhii] [GeneID=77286894] [chromosome=I],uvrC,Planktothrix agardhii,77286894
APHAN_134.Contig_39,NZ_JACJTO010000002.1:186697-187296,99,600,6,0,9463,10062,1,600,0,1075,NZ_JACJTO010000002.1:186697-187296 recR [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78216737] [chromosome=],recR,Aphanizomenon flos-aquae FACHB-1287,78216737
APHAN_134.Contig_39,NZ_KE384626.1:c8487-7888,90.468,598,57,0,9463,10060,1,598,0,789,NZ_KE384626.1:c8487-7888 recR [organism=Dolichospermum circinale AWQC131C] [GeneID=78013799] [chromosome=],recR,Dolichospermum circinale AWQC131C,78013799
APHAN_134.Contig_41,NZ_JACJTO010000006.1:81111-83156,99.267,2046,15,0,14014,16059,2046,1,0,3696,NZ_JACJTO010000006.1:81111-83156 recJ [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217247] [chromosome=],recJ,Aphanizomenon flos-aquae FACHB-1287,78217247
APHAN_134.Contig_41,NZ_KE384624.1:28797-30842,86.917,1995,249,12,14048,16036,2012,24,0,2228,NZ_KE384624.1:28797-30842 recJ [organism=Dolichospermum circinale AWQC131C] [GeneID=78013752] [chromosome=],recJ,Dolichospermum circinale AWQC131C,78013752
APHAN_134.Contig_41,NZ_JANQDJ010000009.1:c72615-70459,77.384,734,156,9,15226,15954,852,124,3.03e-119,427,NZ_JANQDJ010000009.1:c72615-70459 recJ [organism=Umezakia ovalisporum Ak1311] [GeneID=83683545] [chromosome=],recJ,Umezakia ovalisporum Ak1311,83683545
APHAN_134.Contig_41,NZ_JANQDJ010000009.1:c72615-70459,73.523,880,211,20,14327,15195,1784,916,2.46e-85,315,NZ_JANQDJ010000009.1:c72615-70459 recJ [organism=Umezakia ovalisporum Ak1311] [GeneID=83683545] [chromosome=],recJ,Umezakia ovalisporum Ak1311,83683545
APHAN_134.Contig_51,NZ_JACJTO010000018.1:c30292-29192,98.093,1101,21,0,23816,24916,1,1101,0,1917,NZ_JACJTO010000018.1:c30292-29192 ruvB [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218392] [chromosome=],ruvB,Aphanizomenon flos-aquae FACHB-1287,78218392
APHAN_134.Contig_51,NZ_KE384623.1:85149-86249,86.849,1095,144,0,23816,24910,1,1095,0,1225,NZ_KE384623.1:85149-86249 ruvB [organism=Dolichospermum circinale AWQC131C] [GeneID=78013665] [chromosome=],ruvB,Dolichospermum circinale AWQC131C,78013665
APHAN_134.Contig_51,NZ_CP020114.1:4133055-4134158,78.138,988,214,2,23924,24910,112,1098,2.32e-179,627,NZ_CP020114.1:4133055-4134158 ruvB [organism=Nodularia spumigena UHCC 0039] [GeneID=78018897] [chromosome=],ruvB,Nodularia spumigena UHCC 0039,78018897
APHAN_134.Contig_55,NZ_JACJTO010000022.1:c32001-30271,99.48,1731,9,0,17925,19655,1731,1,0,3147,NZ_JACJTO010000022.1:c32001-30271 recN [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218682] [chromosome=],recN,Aphanizomenon flos-aquae FACHB-1287,78218682
APHAN_134.Contig_55,NZ_KE384623.1:25615-27345,87.666,1727,210,3,17931,19655,1726,1,0,2006,NZ_KE384623.1:25615-27345 recN [organism=Dolichospermum circinale AWQC131C] [GeneID=78013610] [chromosome=],recN,Dolichospermum circinale AWQC131C,78013610
APHAN_134.Contig_55,NZ_LAHB01000054.1:258-2006,76.221,1720,376,24,17944,19639,1727,17,0,880,NZ_LAHB01000054.1:258-2006 recN [organism=Nostoc linckia z6] [GeneID=57097181] [chromosome=],recN,Nostoc linckia z6,57097181
APHAN_134.Contig_55,NZ_CP020114.1:c257109-255382,75.802,1715,377,35,17941,19639,1709,17,0,833,NZ_CP020114.1:c257109-255382 recN [organism=Nodularia spumigena UHCC 0039] [GeneID=78015633] [chromosome=],recN,Nodularia spumigena UHCC 0039,78015633
APHAN_134.Contig_55,NZ_AJLL01000058.1:c38773-37028,73.148,1728,421,35,17941,19639,1730,17,1.65e-165,580,NZ_AJLL01000058.1:c38773-37028 recN [organism=Fischerella thermalis PCC 7521] [GeneID=35798955] [chromosome=],recN,Fischerella thermalis PCC 7521,35798955
APHAN_134.Contig_56,NZ_JACJTO010000053.1:c8096-6411,99.585,1686,7,0,6193,7878,1,1686,0,3075,NZ_JACJTO010000053.1:c8096-6411 mutL [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78219924] [chromosome=],mutL,Aphanizomenon flos-aquae FACHB-1287,78219924
APHAN_134.Contig_56,NZ_KE384659.1:c96890-95211,88.071,1685,186,7,6195,7876,6,1678,0,1984,NZ_KE384659.1:c96890-95211 mutL [organism=Dolichospermum circinale AWQC131C] [GeneID=78014695] [chromosome=],mutL,Dolichospermum circinale AWQC131C,78014695
APHAN_134.Contig_56,NZ_JANQDJ010000041.1:c129390-127708,75.16,1719,358,43,6193,7878,1,1683,0,745,NZ_JANQDJ010000041.1:c129390-127708 mutL [organism=Umezakia ovalisporum Ak1311] [GeneID=83684584] [chromosome=],mutL,Umezakia ovalisporum Ak1311,83684584
APHAN_134.Contig_94,NZ_JACJTO010000044.1:29549-30664,99.552,1116,5,0,171,1286,1116,1,0,2034,NZ_JACJTO010000044.1:29549-30664 recF [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78219716] [chromosome=],recF,Aphanizomenon flos-aquae FACHB-1287,78219716
APHAN_134.Contig_94,NZ_KE384611.1:20879-21994,86.404,1118,148,4,171,1286,1116,1,0,1219,NZ_KE384611.1:20879-21994 recF [organism=Dolichospermum circinale AWQC131C] [GeneID=78013004] [chromosome=],recF,Dolichospermum circinale AWQC131C,78013004
