gene_callers_id,source,accession,function,e_value,contig,genome
22891,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",0,CYANO_84.Contig_153,CYANO_84
23168,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),9.4e-57,CYANO_84.Contig_181,CYANO_84
23666,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),2.2999999999999997e-119,CYANO_84.Contig_246,CYANO_84
24346,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.9e-260,CYANO_84.Contig_392,CYANO_84
24803,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_101_1.Contig_17,CYBIM_101_1
26132,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",0,CYBIM_101_1.Contig_137,CYBIM_101_1
26241,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),1.2999999999999999e-179,CYBIM_101_1.Contig_150,CYBIM_101_1
26862,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),8.7e-7,CYBIM_101_1.Contig_249,CYBIM_101_1
27022,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),4.5000000000000004e-274,CYBIM_101_1.Contig_282,CYBIM_101_1
27419,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),4e-52,CYBIM_101_1.Contig_380,CYBIM_101_1
27966,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",0,CYBIM_101.Contig_6,CYBIM_101
28512,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_101.Contig_15,CYBIM_101
28700,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_101.Contig_19,CYBIM_101
29143,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_101.Contig_30,CYBIM_101
29857,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),2e-19,CYBIM_101.Contig_64,CYBIM_101
29948,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),2.2000000000000004e-28,CYBIM_101.Contig_70,CYBIM_101
29949,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.4e-116,CYBIM_101.Contig_70,CYBIM_101
30895,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_104.Contig_2,CYBIM_104
31054,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_104.Contig_2,CYBIM_104
32719,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_104.Contig_18,CYBIM_104
33116,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",0,CYBIM_104.Contig_23,CYBIM_104
35061,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_114.Contig_32,CYBIM_114
35607,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),2.9999999999999993e-98,CYBIM_114.Contig_72,CYBIM_114
35644,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),3.4000000000000003e-106,CYBIM_114.Contig_75,CYBIM_114
36217,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",7.999999999999999e-152,CYBIM_114.Contig_139,CYBIM_114
36471,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_114.Contig_177,CYBIM_114
36516,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),9.699999999999999e-38,CYBIM_114.Contig_184,CYBIM_114
37711,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_119_1.Contig_14,CYBIM_119_1
37773,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_119_1.Contig_16,CYBIM_119_1
38484,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",7.8e-306,CYBIM_119_1.Contig_48,CYBIM_119_1
39416,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),3.6999999999999997e-287,CYBIM_119_1.Contig_146,CYBIM_119_1
39773,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",4.699999999999999e-292,CYBIM_119.Contig_2,CYBIM_119
39937,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_119.Contig_3,CYBIM_119
40031,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_119.Contig_3,CYBIM_119
41205,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_119.Contig_16,CYBIM_119
42980,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_130_1.Contig_4,CYBIM_130_1
43450,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_130_1.Contig_12,CYBIM_130_1
44102,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_130_1.Contig_28,CYBIM_130_1
44767,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",7.4e-306,CYBIM_130_1.Contig_60,CYBIM_130_1
45147,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),3.2999999999999995e-100,CYBIM_130_1.Contig_115,CYBIM_130_1
46045,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_130.Contig_68,CYBIM_130
46188,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",1.3999999999999997e-177,CYBIM_130.Contig_86,CYBIM_130
46549,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",6.6e-157,CYBIM_130.Contig_131,CYBIM_130
46696,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_130.Contig_150,CYBIM_130
48205,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),5.9e-193,CYBIM_134_1.Contig_3,CYBIM_134_1
49124,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),9.199999999999999e-89,CYBIM_134_1.Contig_43,CYBIM_134_1
49767,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_134_1.Contig_91,CYBIM_134_1
50190,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",2.3999999999999997e-229,CYBIM_134_1.Contig_142,CYBIM_134_1
50717,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.1999999999999997e-280,CYBIM_134_1.Contig_236,CYBIM_134_1
50844,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_134_1.Contig_267,CYBIM_134_1
51099,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),7.1e-11,CYBIM_134_1.Contig_333,CYBIM_134_1
51199,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",1.1e-301,CYBIM_136_1.Contig_1,CYBIM_136_1
51808,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_136_1.Contig_5,CYBIM_136_1
52909,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_136_1.Contig_18,CYBIM_136_1
54159,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_136_1.Contig_56,CYBIM_136_1
54447,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.8999999999999998e-35,CYBIM_157.Contig_1,CYBIM_157
54807,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",0,CYBIM_157.Contig_2,CYBIM_157
55082,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.2e-23,CYBIM_157.Contig_3,CYBIM_157
56146,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_157.Contig_9,CYBIM_157
56216,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),6.999999999999999e-219,CYBIM_157.Contig_9,CYBIM_157
57348,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_157.Contig_18,CYBIM_157
57439,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_157.Contig_19,CYBIM_157
57775,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_157.Contig_24,CYBIM_157
58942,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_15.Contig_34,CYBIM_15
59089,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",5.299999999999999e-304,CYBIM_15.Contig_42,CYBIM_15
59416,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),2e-244,CYBIM_15.Contig_63,CYBIM_15
59922,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.6e-204,CYBIM_15.Contig_106,CYBIM_15
60746,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),3.9000000000000004e-28,CYBIM_15.Contig_215,CYBIM_15
60758,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),7.399999999999999e-175,CYBIM_15.Contig_217,CYBIM_15
60977,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_15.Contig_264,CYBIM_15
61257,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",4.6e-303,CYBIM_160.Contig_1,CYBIM_160
62446,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_160.Contig_8,CYBIM_160
62536,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_160.Contig_8,CYBIM_160
63781,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_160.Contig_25,CYBIM_160
64313,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_173.Contig_13,CYBIM_173
64826,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",2.6e-306,CYBIM_173.Contig_53,CYBIM_173
66645,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",0,CYBIM_190.Contig_4,CYBIM_190
67375,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_190.Contig_32,CYBIM_190
67915,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_190.Contig_64,CYBIM_190
68118,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_190.Contig_78,CYBIM_190
68242,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),4.4e-6,CYBIM_190.Contig_86,CYBIM_190
68876,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),2.4e-78,CYBIM_190.Contig_149,CYBIM_190
69007,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),8.800000000000002e-28,CYBIM_190.Contig_167,CYBIM_190
70448,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",2e-298,CYBIM_200.Contig_5,CYBIM_200
70993,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_200.Contig_12,CYBIM_200
71582,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_200.Contig_25,CYBIM_200
71987,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),3.9e-137,CYBIM_200.Contig_40,CYBIM_200
71988,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),9.5e-51,CYBIM_200.Contig_40,CYBIM_200
72704,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_200.Contig_79,CYBIM_200
72740,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),5.5e-22,CYBIM_200.Contig_81,CYBIM_200
72769,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),8.2e-215,CYBIM_200.Contig_84,CYBIM_200
72795,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),3.7e-215,CYBIM_200.Contig_85,CYBIM_200
73478,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_22.Contig_8,CYBIM_22
74207,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),8.5e-40,CYBIM_22.Contig_34,CYBIM_22
74209,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),3.3e-11,CYBIM_22.Contig_34,CYBIM_22
74756,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_22.Contig_65,CYBIM_22
75744,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",0,CYBIM_22.Contig_166,CYBIM_22
76148,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_22.Contig_238,CYBIM_22
76590,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_231.Contig_4,CYBIM_231
77141,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",7.499999999999999e-294,CYBIM_231.Contig_30,CYBIM_231
77475,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_231.Contig_51,CYBIM_231
78842,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_231.Contig_208,CYBIM_231
79249,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),7.8e-204,CYBIM_231.Contig_289,CYBIM_231
79397,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_231.Contig_326,CYBIM_231
80206,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_28.Contig_21,CYBIM_28
81166,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",3e-302,CYBIM_28.Contig_99,CYBIM_28
81241,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_28.Contig_109,CYBIM_28
82059,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_28.Contig_261,CYBIM_28
82330,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),9.599999999999998e-216,CYBIM_31.Contig_1,CYBIM_31
83096,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",6.3e-298,CYBIM_31.Contig_12,CYBIM_31
83991,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_31.Contig_32,CYBIM_31
84235,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),0,CYBIM_31.Contig_40,CYBIM_31
84493,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_31.Contig_50,CYBIM_31
84864,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),9.5e-51,CYBIM_31.Contig_67,CYBIM_31
84865,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),2e-6,CYBIM_31.Contig_67,CYBIM_31
85227,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),8.899999999999999e-25,CYBIM_31.Contig_91,CYBIM_31
85228,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.5e-72,CYBIM_31.Contig_91,CYBIM_31
85592,COG20_FUNCTION,COG0322,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",0,CYBIM_39.Contig_1,CYBIM_39
85992,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),1.8e-13,CYBIM_39.Contig_4,CYBIM_39
85993,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),3.9e-9,CYBIM_39.Contig_4,CYBIM_39
85997,COG20_FUNCTION,COG0210,Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR),3.9e-34,CYBIM_39.Contig_4,CYBIM_39
86719,COG20_FUNCTION,COG0556,Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,CYBIM_39.Contig_10,CYBIM_39
87022,COG20_FUNCTION,COG0178,Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F),0,CYBIM_39.Contig_13,CYBIM_39
